,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,name,zone
0,S,S,S,,,,,S,S,S,S,S,Amaranth,17
1,T,T,T,T,,,,T,T,T,T,T,Amaranth,17
2,P,P,P,,,,,P,P,P,P,P,Amaranth,17
3,,,,,,,,,,S,S,S,Amaranth,1
4,T,,,,,,,,,T,T,T,Amaranth,1
5,,,,,,,,,,P,P,P,Amaranth,1
6,S,S,S,,,,,S,S,S,S,S,Amaranth,3
7,T,T,T,T,,,,T,T,T,T,T,Amaranth,3
8,P,P,P,,,,,P,P,P,P,P,Amaranth,3
9,S,S,,,,,,,S,S,S,S,Amaranth,2
10,T,T,T,,,,,,,T,T,T,Amaranth,2
11,P,P,,,,,,,P,P,P,P,Amaranth,2
12,,,,S,S,S,S,,,,,,Amaranth,4
13,,,,T,T,T,T,T,,,,,Amaranth,4
14,,,,P,P,P,P,P,,,,,Amaranth,4
15,,,P,,,,,,,,,,Amaranth,8
16,,,,P,P,,,,,,,,Amaranth,9
17,,,,,,,,,P,P,P,,Amaranth,6
18,P,P,P,P,,,,P,P,P,P,P,Amaranth,7
19,P,P,P,,,,,,P,P,P,P,Amaranth,5
20,,,,P,P,,,,,,,,Amaranth,10
21,,,,P,P,,,,,,,,Amaranth,114
22,,,P,P,,,,,,,,,Amaranth,13
23,,,P,P,,,,,,,,,Amaranth,12
24,,P,,P,,,,,,,,,Amaranth,115
25,,P,,P,,,,,,,,,Amaranth,116
26,P,P,,,,,,,,,,,Amaranth,15
27,P,P,,,,,,,,,,,Amaranth,100
28,,,,,,,,,,T,T,,Amaranth,23
29,,,,,,,,,P,P,,,Amaranth,23
30,,,,,,,,P,P,P,P,,Amaranth,20
31,,,,,,,,,,T,T,,Amaranth,21
32,,,,,,,,,P,P,P,,Amaranth,21
33,,,,,,,,,P,P,P,,Amaranth,22
34,,,,,,,S,S,S,,,,Angelica,17
35,,,,,,,,T,T,,,,Angelica,17
36,,,,,,,,P,P,,,,Angelica,17
37,,,,,,,,,,S,S,,Angelica,1
38,,,,,,,,,,,T,T,Angelica,1
39,,,,,,,S,S,S,S,,,Angelica,3
40,,,,,,,,T,T,T,T,,Angelica,3
41,,,,,,,,,P,P,P,,Angelica,3
42,,,,,,,,,S,S,S,,Angelica,2
43,,,,,,,,,,T,T,T,Angelica,2
44,,,,,,,,,,P,P,,Angelica,2
45,,,,,S,,,,,,,,Angelica,4
46,,,,,T,T,,,,,,,Angelica,4
47,,,,,P,P,,,,,,,Angelica,4
48,,,,,,,P,,,,,,Angelica,57
49,,,,,,,P,P,,,,,Angelica,56
50,,,,,,,P,P,,,,,Angelica,55
51,,,,,,,P,P,,,,,Angelica,54
52,,,,,,,P,P,,,,,Angelica,53
53,,,,,,,P,P,P,,,,Angelica,52
54,,,,,,,P,P,P,,,,Angelica,51
55,,,,,,,P,P,P,,,,Angelica,50
56,,,,,P,,,,,,,,Angelica,8
57,,,,P,P,,,,,,,,Angelica,9
58,,,,,,,,,,,P,P,Angelica,6
59,,,,,,,,,P,P,P,,Angelica,7
60,,,,,,,,,,P,P,,Angelica,5
61,,,,,,,,,P,,,,Angelica,111
62,,,,,,,,,P,,,,Angelica,112
63,,,,,P,,,,,,,,Angelica,11
64,,,,,P,,,,,,,,Angelica,14
65,,,P,,,,,,,,,,Angelica,16
66,,,P,,,,,,,,,,Angelica,113
67,,,P,,,,,,,,,,Angelica,10
68,,,P,,,,,,,,,,Angelica,114
69,,,,,,,,,,,P,,Angelica,13
70,,,,,,,,,,,P,,Angelica,12
71,,,,,,,,,,,,P,Angelica,115
72,,,,,,,,,,,P,,Angelica,116
73,,,,,,,,,,,,P,Angelica,15
74,,,,,,,,,,,,P,Angelica,100
75,,,,,,,,,S,S,S,,Angelica,23
76,,,,,,,,,T,T,T,T,Angelica,23
77,,,P,P,P,,,,P,P,P,,Angelica,23
78,,,,,,,,,S,S,S,,Angelica,20
79,,,,,,,,,,T,T,T,Angelica,20
80,,,P,P,P,,,,P,P,P,,Angelica,20
81,,,,,,,,,S,S,S,,Angelica,21
82,,,,,,,,,,T,T,T,Angelica,21
83,,,P,P,P,,,,P,P,P,,Angelica,21
84,,,,,,,,,,P,P,P,Angelica,22
85,,,,,,S,S,S,S,S,,,Artichokes%20(Globe),17
86,,,,,,,T,T,T,T,T,T,Artichokes%20(Globe),17
87,,,,,,P,P,P,P,P,P,P,Artichokes%20(Globe),17
88,,,,,,,,,S,S,S,,Artichokes%20(Globe),1
89,,,,,,,,,,,T,T,Artichokes%20(Globe),1
90,,,,,,,S,S,S,S,,,Artichokes%20(Globe),3
91,,,,,,,,T,T,T,T,,Artichokes%20(Globe),3
92,,,,,,,,P,P,P,P,,Artichokes%20(Globe),3
93,,,,,,,,S,S,S,S,,Artichokes%20(Globe),2
94,,,,,,,,,,T,T,T,Artichokes%20(Globe),2
95,,,,,,,,,,P,P,,Artichokes%20(Globe),2
96,,,,S,S,S,,,,,,,Artichokes%20(Globe),4
97,,,,T,T,T,T,,,,,,Artichokes%20(Globe),4
98,,,,P,P,P,P,,,,,,Artichokes%20(Globe),4
99,,,S,,,,,,,,,,Artichokes%20(Globe),60
100,,,,,,T,,,,,,,Artichokes%20(Globe),60
101,,,S,,,,,,,,,,Artichokes%20(Globe),59
102,,,,,,T,,,,,,,Artichokes%20(Globe),59
103,,,S,,,,,,,,,,Artichokes%20(Globe),58
104,,,,,,T,,,,,,,Artichokes%20(Globe),58
105,,,S,,,,,,,,,,Artichokes%20(Globe),57
106,,,,,,T,,,,,,,Artichokes%20(Globe),57
107,,,S,,,,,,,,,,Artichokes%20(Globe),56
108,,,,,,T,,,,,,,Artichokes%20(Globe),56
109,,,S,,,,,,,,,,Artichokes%20(Globe),55
110,,,,,,T,,,,,,,Artichokes%20(Globe),55
111,,,S,,,,,,,,,,Artichokes%20(Globe),54
112,,,,,,T,,,,,,,Artichokes%20(Globe),54
113,,S,S,,,,,,,,,,Artichokes%20(Globe),53
114,,,,,T,T,,,,,,,Artichokes%20(Globe),53
115,,S,S,,,,,,,,,,Artichokes%20(Globe),52
116,,,,,,T,,,,,,,Artichokes%20(Globe),52
117,S,S,S,,,,,,,,,,Artichokes%20(Globe),51
118,,,,,T,T,,,,,,,Artichokes%20(Globe),51
119,S,S,S,,,,,,,,,,Artichokes%20(Globe),50
120,,,,T,T,T,,,,,,,Artichokes%20(Globe),50
121,,,,P,,,,,,,,,Artichokes%20(Globe),8
122,,,,P,,,,,,,,,Artichokes%20(Globe),9
123,,,,,,,,,P,P,P,,Artichokes%20(Globe),6
124,,,,,,,,P,P,P,P,,Artichokes%20(Globe),7
125,,,,,,,,P,P,P,P,,Artichokes%20(Globe),5
126,,S,,,,,,,,,,,Artichokes%20(Globe),111
127,,,,T,,,,,,,,,Artichokes%20(Globe),111
128,,,,P,,,,,,,,,Artichokes%20(Globe),111
129,,S,,,,,,,,,,,Artichokes%20(Globe),112
130,,,,T,,,,,,,,,Artichokes%20(Globe),112
131,,,,P,,,,,,,,,Artichokes%20(Globe),112
132,,S,,,,,,,,,,,Artichokes%20(Globe),11
133,,,,T,,,,,,,,,Artichokes%20(Globe),11
134,,,,P,,,,,,,,,Artichokes%20(Globe),11
135,,S,,,,,,,,,,,Artichokes%20(Globe),14
136,,,,T,,,,,,,,,Artichokes%20(Globe),14
137,,,,P,,,,,,,,,Artichokes%20(Globe),14
138,,S,S,,,,,,,,,,Artichokes%20(Globe),16
139,,,,,T,,,,,,,,Artichokes%20(Globe),16
140,,S,S,,,,,,,,,,Artichokes%20(Globe),113
141,,,,,T,,,,,,,,Artichokes%20(Globe),113
142,,S,S,,,,,,,,,,Artichokes%20(Globe),10
143,,,,,T,,,,,,,,Artichokes%20(Globe),10
144,,S,S,,,,,,,,,,Artichokes%20(Globe),114
145,,,,T,,,,,,,,,Artichokes%20(Globe),114
146,,S,S,,,,,,,,,,Artichokes%20(Globe),13
147,,,,,T,,,,,,,,Artichokes%20(Globe),13
148,,S,S,,,,,,,,,,Artichokes%20(Globe),12
149,,,,,T,,,,,,,,Artichokes%20(Globe),12
150,S,S,,,,,,,,,,,Artichokes%20(Globe),115
151,,,,T,,,,,,,,,Artichokes%20(Globe),115
152,S,S,,,,,,,,,,,Artichokes%20(Globe),116
153,,,,T,,,,,,,,,Artichokes%20(Globe),116
154,,,,,,,,,,,,S,Artichokes%20(Globe),15
155,,T,,,,,,,,,,,Artichokes%20(Globe),15
156,,,,,,,,,,,S,,Artichokes%20(Globe),100
157,T,,,,,,,,,,,,Artichokes%20(Globe),100
158,,,,,,,,,,,S,S,Artichokes%20(Globe),23
159,T,T,,,,,,,,,,,Artichokes%20(Globe),23
160,S,S,,,,,,,,,,S,Artichokes%20(Globe),20
161,T,T,T,,,,,,,,,,Artichokes%20(Globe),20
162,S,,,,,,,,,,,,Artichokes%20(Globe),21
163,,T,,,,,,,,,,,Artichokes%20(Globe),21
164,,,,,,,,,P,P,P,,Artichokes%20(Globe),22
165,P,,,,,P,P,,,,,,Asparagus,17
166,,,,,,,,,P,P,P,,Asparagus,1
167,,,,,,,,P,P,P,P,,Asparagus,3
168,,,,,,,,P,P,P,P,,Asparagus,2
169,,,,,P,P,P,,,,,,Asparagus,4
170,,,S,,,,,,,,,,Asparagus,60
171,,,,,,T,,,,,,,Asparagus,60
172,,,,,,P,,,,,,,Asparagus,60
173,,,S,,,,,,,,,,Asparagus,59
174,,,,,,T,,,,,,,Asparagus,59
175,,,,,,P,,,,,,,Asparagus,59
176,,,S,,,,,,,,,,Asparagus,58
177,,,,,,T,,,,,,,Asparagus,58
178,,,,,,P,,,,,,,Asparagus,58
179,,,S,,,,,,,,,,Asparagus,57
180,,S,S,,,,,,,,,,Asparagus,56
181,,,,,T,T,,,,,,,Asparagus,56
182,,,,,P,P,,,,,,,Asparagus,56
183,,S,S,,,,,,,,,,Asparagus,55
184,,,,,T,T,,,,,,,Asparagus,55
185,,,,,P,P,,,,,,,Asparagus,55
186,,S,S,,,,,,,,,,Asparagus,54
187,,,,,T,T,,,,,,,Asparagus,54
188,,,,,P,P,,,,,,,Asparagus,54
189,,S,S,,,,,,,,,,Asparagus,53
190,,,,,T,T,,,,,,,Asparagus,53
191,,,,,P,P,,,,,,,Asparagus,53
192,,S,S,,,,,,,,,,Asparagus,52
193,,,,,T,T,,,,,,,Asparagus,52
194,,,,,P,P,,,,,,,Asparagus,52
195,,S,S,,,,,,,,,,Asparagus,51
196,,,,,T,T,,,,,,,Asparagus,51
197,,,,,P,P,,,,,,,Asparagus,51
198,S,S,S,,,,,,,,,,Asparagus,50
199,,,,T,T,T,,,,,,,Asparagus,50
200,,,,P,P,P,,,,,,,Asparagus,50
201,,,P,P,,,,,,,,,Asparagus,8
202,,,P,P,,,,,,,,,Asparagus,9
203,,,,,,,,,P,P,P,,Asparagus,6
204,,,,,,,,P,P,P,P,,Asparagus,7
205,,,,,,,,P,P,P,P,,Asparagus,5
206,,,S,,,,,,,,,,Asparagus,107
207,,,,,T,,,,,,,,Asparagus,107
208,,,,,P,,,,,,,,Asparagus,107
209,,,S,,,,,,,,,,Asparagus,108
210,,,,,T,,,,,,,,Asparagus,108
211,,,,,P,,,,,,,,Asparagus,108
212,,,,S,,,,,,,,,Asparagus,109
213,,,,,,T,,,,,,,Asparagus,109
214,,,,S,,,,,,,,,Asparagus,110
215,,,,,,T,,,,,,,Asparagus,110
216,,,,S,,,,,,,,,Asparagus,111
217,,,,,,T,,,,,,,Asparagus,111
218,,,,S,,,,,,,,,Asparagus,112
219,,,,,,T,,,,,,,Asparagus,112
220,,,S,,,,,,,,,,Asparagus,11
221,,,,,T,,,,,,,,Asparagus,11
222,,,S,,,,,,,,,,Asparagus,14
223,,,,,T,,,,,,,,Asparagus,14
224,,,S,,,,,,,,,,Asparagus,16
225,,,,,T,,,,,,,,Asparagus,16
226,,,S,,,,,,,,,,Asparagus,113
227,,,,,T,,,,,,,,Asparagus,113
228,,P,P,,,,,,,,P,P,Asparagus,10
229,,P,P,,,,,,,,P,P,Asparagus,114
230,,P,P,,,,,,,,P,P,Asparagus,13
231,,P,P,,,,,,,,P,P,Asparagus,12
232,P,P,,,,,,,,,P,P,Asparagus,15
233,T,,,,,,,,,,T,T,Asparagus,23
234,,,,,,,,,,P,P,P,Asparagus,23
235,,,,,,,,,,T,,,Asparagus,20
236,,,,,,,,P,P,P,,,Asparagus,20
237,T,,,,,,,,,,T,T,Asparagus,21
238,,,,,,,,,,P,P,P,Asparagus,21
239,,,,,,,,,,,,T,Asparagus,22
240,,,,,,,,,P,P,P,P,Asparagus,22
241,P,P,P,,,,,P,P,P,P,P,Asparagus%2BPea,17
242,,,,,,,,,,P,P,P,Asparagus%2BPea,1
243,P,P,P,,,,,P,P,P,P,P,Asparagus%2BPea,3
244,P,,,,,,,,P,P,P,P,Asparagus%2BPea,2
245,,,P,P,P,P,,,,,,,Asparagus%2BPea,4
246,,,,,,P,,,,,,,Asparagus%2BPea,57
247,,,,,P,P,,,,,,,Asparagus%2BPea,56
248,,,,,P,P,,,,,,,Asparagus%2BPea,55
249,,,,,P,P,,,,,,,Asparagus%2BPea,54
250,,,,P,P,,,,,,,,Asparagus%2BPea,53
251,,,P,P,P,,,,,,,,Asparagus%2BPea,52
252,,,,P,P,P,,,,,,,Asparagus%2BPea,51
253,,,P,P,P,P,,,,,,,Asparagus%2BPea,50
254,,,,P,P,,,,,,,,Asparagus%2BPea,8
255,,,,P,P,,,,,,,,Asparagus%2BPea,9
256,,,,,,,,,,P,P,P,Asparagus%2BPea,6
257,,,,,,,,,P,P,P,P,Asparagus%2BPea,7
258,,,,,,,,,P,P,P,P,Asparagus%2BPea,5
259,,,,,P,,,,,,,,Asparagus%2BPea,11
260,,,,,P,,,,,,,,Asparagus%2BPea,14
261,,,,P,,,,,,,,,Asparagus%2BPea,16
262,,,,P,,,,,,,,,Asparagus%2BPea,113
263,,,,P,,,,,,,,,Asparagus%2BPea,10
264,,,,P,,,,,,,,,Asparagus%2BPea,114
265,,,,P,P,,,,,,,,Asparagus%2BPea,13
266,,,,P,P,,,,,,,,Asparagus%2BPea,12
267,,,P,P,,,,,,,,,Asparagus%2BPea,115
268,,,P,P,,,,,,,,,Asparagus%2BPea,116
269,,,P,,,,,,,,,,Asparagus%2BPea,15
270,,,P,,,,,,,,,,Asparagus%2BPea,100
271,,P,,,,,,,,,,,Asparagus%2BPea,101
272,,P,,,,,,,,,,,Asparagus%2BPea,102
273,,,,P,P,,,P,P,P,P,,Asparagus%2BPea,23
274,,,P,P,P,,,P,P,P,,,Asparagus%2BPea,20
275,,,,,,,,,P,P,P,,Asparagus%2BPea,21
276,,,,,,,,,P,P,P,P,Asparagus%2BPea,22
277,S,S,,,,,,S,S,S,S,S,Basil,17
278,T,T,T,,,,,,T,T,T,T,Basil,17
279,S,,,,,,,,,S,S,S,Basil,1
280,T,T,,,,,,,,,T,T,Basil,1
281,S,S,,,,,,S,S,S,S,S,Basil,3
282,T,T,T,,,,,,T,T,T,T,Basil,3
283,S,S,,,,,,,S,S,S,S,Basil,2
284,T,T,T,,,,,,,T,T,T,Basil,2
285,S,S,S,S,S,S,S,S,S,S,S,S,Basil,4
286,T,T,T,T,T,T,T,T,T,T,T,T,Basil,4
287,,,,,,P,,,,,,,Basil,60
288,,,,,,P,,,,,,,Basil,59
289,,,,,P,P,,,,,,,Basil,58
290,,,,,P,P,,,,,,,Basil,57
291,,,,,P,P,P,,,,,,Basil,56
292,,,,,P,P,P,,,,,,Basil,55
293,,,,,P,P,P,,,,,,Basil,54
294,,,,P,P,P,,,,,,,Basil,53
295,,,,,P,P,P,,,,,,Basil,52
296,,,,P,P,P,P,,,,,,Basil,51
297,,,,P,P,P,P,,,,,,Basil,50
298,,,S,,,,,,,,,,Basil,8
299,,,,,T,,,,,,,,Basil,8
300,,S,,,,,,,,,,,Basil,9
301,,,,,T,,,,,,,,Basil,9
302,,,,,,,,,,S,,,Basil,6
303,T,,,,,,,,,,T,T,Basil,6
304,,,,,,,,,S,,,,Basil,7
305,,,,,,,,,,T,T,T,Basil,7
306,P,,,,,,,,,,,,Basil,7
307,,,,,,,,,S,S,,,Basil,5
308,,,,,,,,,,T,T,T,Basil,5
309,P,,,,,,,,,,,,Basil,5
310,,,,S,,,,,,,,,Basil,107
311,,,,,T,,,,,,,,Basil,107
312,,,,S,,,,,,,,,Basil,108
313,,,,,T,,,,,,,,Basil,108
314,,,,S,,,,,,,,,Basil,109
315,,,,,T,,,,,,,,Basil,109
316,,,,,P,,,,,,,,Basil,109
317,,,,S,,,,,,,,,Basil,110
318,,,,,T,T,,,,,,,Basil,110
319,,,,,P,P,,,,,,,Basil,110
320,,,,S,,,,,,,,,Basil,111
321,,,,,T,T,,,,,,,Basil,111
322,,,,,P,P,,,,,,,Basil,111
323,,,,S,,,,,,,,,Basil,112
324,,,,,T,T,,,,,,,Basil,112
325,,,,,P,P,,,,,,,Basil,112
326,,,S,,,,,,,,,,Basil,11
327,,,,T,,,,,,,,,Basil,11
328,,,,P,P,,,,,,,,Basil,11
329,,,S,,,,,,,,,,Basil,14
330,,,,T,,,,,,,,,Basil,14
331,,,,P,P,,,,,,,,Basil,14
332,,,S,,,,,,,,,,Basil,16
333,,,,T,,,,,,,,,Basil,16
334,,,,P,P,,,,,,,,Basil,16
335,,,S,,,,,,,,,,Basil,113
336,,,,T,,,,,,,,,Basil,113
337,,,,P,P,,,,,,,,Basil,113
338,,,S,,,,,,,,,,Basil,10
339,,,,T,,,,,,,,,Basil,10
340,,,,P,P,,,,,,,,Basil,10
341,,,S,,,,,,,,,,Basil,114
342,,,,T,,,,,,,,,Basil,114
343,,,,P,P,,,,,,,,Basil,114
344,,,S,,,,,,,,,,Basil,13
345,,,,T,,,,,,,,,Basil,13
346,,,,P,P,,,,,,,,Basil,13
347,,,S,,,,,,,,,,Basil,12
348,,,,T,,,,,,,,,Basil,12
349,,,,P,P,,,,,,,,Basil,12
350,,S,,,,,,,,,,,Basil,115
351,,,T,,,,,,,,,,Basil,115
352,,,P,P,,,,,,,,,Basil,115
353,,S,,,,,,,,,,,Basil,116
354,,,T,,,,,,,,,,Basil,116
355,,,P,P,,,,,,,,,Basil,116
356,,S,,,,,,,,,,,Basil,15
357,,,T,T,,,,,,,,,Basil,15
358,,,P,P,P,,,,,,,,Basil,15
359,S,,,,,,,,,,,,Basil,100
360,,T,,,,,,,,,,,Basil,100
361,,P,P,,,,,,,,,,Basil,100
362,P,P,,,,,,,,,,,Basil,101
363,P,,,,,,,,,,,,Basil,102
364,P,,,,,,,,,,,,Basil,103
365,P,,,,,,,,,,,,Basil,104
366,P,,,,,,,,,,,,Basil,105
367,P,,,,,,,,,,,,Basil,106
368,P,P,P,P,,,,,P,P,P,P,Basil,23
369,P,P,P,P,,,,,P,P,P,P,Basil,20
370,P,P,P,P,,,,,P,P,P,P,Basil,21
371,,,,,,,,,S,,,,Basil,22
372,,,,,,,,,,T,,,Basil,22
373,P,P,,,,,,,,P,P,P,Basil,22
374,,,,,,,,S,S,S,S,S,Beans%2B-%2Bclimbing,17
375,T,T,T,,,,,,T,T,T,T,Beans%2B-%2Bclimbing,17
376,P,P,,,,,,,P,P,P,P,Beans%2B-%2Bclimbing,17
377,S,,,,,,,,,,S,S,Beans%2B-%2Bclimbing,1
378,T,,,,,,,,,,T,T,Beans%2B-%2Bclimbing,1
379,P,,,,,,,,,,P,P,Beans%2B-%2Bclimbing,1
380,S,S,,,,,,S,S,S,S,S,Beans%2B-%2Bclimbing,3
381,T,T,T,,,,,,T,T,T,T,Beans%2B-%2Bclimbing,3
382,P,P,P,,,,,P,P,P,P,P,Beans%2B-%2Bclimbing,3
383,S,S,,,,,,,S,S,S,S,Beans%2B-%2Bclimbing,2
384,T,T,,,,,,,,T,T,T,Beans%2B-%2Bclimbing,2
385,P,P,,,,,,,,P,P,P,Beans%2B-%2Bclimbing,2
386,,,,S,S,S,S,,,,,,Beans%2B-%2Bclimbing,4
387,,,,T,T,T,T,T,,,,,Beans%2B-%2Bclimbing,4
388,,,,P,P,P,P,,,,,,Beans%2B-%2Bclimbing,4
389,,,,,,P,,,,,,,Beans%2B-%2Bclimbing,61
390,,,,,,P,,,,,,,Beans%2B-%2Bclimbing,62
391,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,60
392,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,59
393,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,58
394,,,,P,P,P,,,,,,,Beans%2B-%2Bclimbing,57
395,,,,P,P,P,,,,,,,Beans%2B-%2Bclimbing,56
396,,,,P,P,P,,,,,,,Beans%2B-%2Bclimbing,55
397,,,,P,P,P,P,,,,,,Beans%2B-%2Bclimbing,54
398,,,,P,P,P,P,,,,,,Beans%2B-%2Bclimbing,53
399,,,,P,P,P,P,,,,,,Beans%2B-%2Bclimbing,52
400,,,P,P,P,P,P,,,,,,Beans%2B-%2Bclimbing,51
401,,,P,P,P,P,P,P,,,,,Beans%2B-%2Bclimbing,50
402,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,8
403,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,9
404,,,,,,,,,,P,P,P,Beans%2B-%2Bclimbing,6
405,P,P,P,P,,,,P,P,P,P,P,Beans%2B-%2Bclimbing,7
406,P,,,,,,,,P,P,P,P,Beans%2B-%2Bclimbing,5
407,,,,,P,P,P,,,,,,Beans%2B-%2Bclimbing,107
408,,,,,,P,P,,,,,,Beans%2B-%2Bclimbing,108
409,,,,,P,P,P,,,,,,Beans%2B-%2Bclimbing,109
410,,,,,P,P,P,,,,,,Beans%2B-%2Bclimbing,110
411,,,,,P,P,P,,,,,,Beans%2B-%2Bclimbing,111
412,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,112
413,,,,,P,,,,,,,,Beans%2B-%2Bclimbing,11
414,,,,,P,,,,,,,,Beans%2B-%2Bclimbing,14
415,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,16
416,,,,,P,P,,,,,,,Beans%2B-%2Bclimbing,113
417,,,,P,P,,P,P,,,,,Beans%2B-%2Bclimbing,10
418,,,,P,P,,P,P,,,,,Beans%2B-%2Bclimbing,114
419,,,,P,,,P,P,,,,,Beans%2B-%2Bclimbing,13
420,,,,P,,,P,P,,,,,Beans%2B-%2Bclimbing,12
421,,,P,P,,,,P,P,,,,Beans%2B-%2Bclimbing,115
422,,,P,P,,,,P,P,,,,Beans%2B-%2Bclimbing,116
423,P,P,,,,,,P,P,P,P,,Beans%2B-%2Bclimbing,15
424,,T,,,,,,,,,,,Beans%2B-%2Bclimbing,100
425,,P,P,P,,,,P,P,,,,Beans%2B-%2Bclimbing,100
426,P,P,P,,,,,,,P,,,Beans%2B-%2Bclimbing,101
427,P,P,P,,,,,,,P,,,Beans%2B-%2Bclimbing,102
428,P,P,P,,,,,,,,,,Beans%2B-%2Bclimbing,103
429,P,P,P,,,,,,,,,,Beans%2B-%2Bclimbing,104
430,P,P,,,,,,,,,,P,Beans%2B-%2Bclimbing,105
431,P,P,,,,,,,,,,P,Beans%2B-%2Bclimbing,106
432,P,,,,,,,,P,P,P,P,Beans%2B-%2Bclimbing,23
433,,P,P,P,P,P,P,P,,,,,Beans%2B-%2Bclimbing,20
434,,P,P,,,,,P,P,P,,,Beans%2B-%2Bclimbing,21
435,,,,,,,,P,P,P,P,P,Beans%2B-%2Bclimbing,22
436,S,,,,,,,S,S,S,S,S,Beans%2B-%2Bdwarf,17
437,T,T,T,,,,,,T,T,T,T,Beans%2B-%2Bdwarf,17
438,P,P,,,,,,P,P,P,P,P,Beans%2B-%2Bdwarf,17
439,S,,,,,,,,,,S,S,Beans%2B-%2Bdwarf,1
440,T,,,,,,,,,,T,T,Beans%2B-%2Bdwarf,1
441,P,,,,,,,,,,P,P,Beans%2B-%2Bdwarf,1
442,S,S,S,,,,,S,S,S,S,S,Beans%2B-%2Bdwarf,3
443,T,T,T,T,,,,,T,T,T,T,Beans%2B-%2Bdwarf,3
444,P,P,P,,,,,P,P,P,P,P,Beans%2B-%2Bdwarf,3
445,S,S,,,,,,,S,S,S,S,Beans%2B-%2Bdwarf,2
446,T,T,,,,,,,,T,T,T,Beans%2B-%2Bdwarf,2
447,P,P,,,,,,,,P,P,P,Beans%2B-%2Bdwarf,2
448,,,,S,S,S,S,,,,,,Beans%2B-%2Bdwarf,4
449,,,,T,T,T,T,T,,,,,Beans%2B-%2Bdwarf,4
450,,,,P,P,P,P,,,,,,Beans%2B-%2Bdwarf,4
451,,,,,,P,,,,,,,Beans%2B-%2Bdwarf,61
452,,,,,,P,,,,,,,Beans%2B-%2Bdwarf,62
453,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,60
454,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,59
455,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,58
456,,,,P,P,P,,,,,,,Beans%2B-%2Bdwarf,57
457,,,,P,P,P,,,,,,,Beans%2B-%2Bdwarf,56
458,,,,P,P,P,,,,,,,Beans%2B-%2Bdwarf,55
459,,,,P,P,P,P,,,,,,Beans%2B-%2Bdwarf,54
460,,,,P,P,P,P,,,,,,Beans%2B-%2Bdwarf,53
461,,,,P,P,P,P,,,,,,Beans%2B-%2Bdwarf,52
462,,,P,P,P,P,P,,,,,,Beans%2B-%2Bdwarf,51
463,,,P,P,P,P,P,P,,,,,Beans%2B-%2Bdwarf,50
464,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,8
465,S,,,,,,,,,,,S,Beans%2B-%2Bdwarf,9
466,,,,P,P,,,,,,,,Beans%2B-%2Bdwarf,9
467,P,,,,,,,,,P,P,P,Beans%2B-%2Bdwarf,6
468,P,P,P,P,,,,P,P,P,P,P,Beans%2B-%2Bdwarf,7
469,P,P,,,,,,,P,P,P,P,Beans%2B-%2Bdwarf,5
470,,,,,P,P,P,,,,,,Beans%2B-%2Bdwarf,107
471,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,108
472,,,,,P,P,P,,,,,,Beans%2B-%2Bdwarf,109
473,,,,,P,P,P,,,,,,Beans%2B-%2Bdwarf,110
474,,,,,P,P,P,,,,,,Beans%2B-%2Bdwarf,111
475,,,,,P,P,P,,,,,,Beans%2B-%2Bdwarf,112
476,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,11
477,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,14
478,,,,,P,P,,,,,,,Beans%2B-%2Bdwarf,16
479,,,,,P,P,P,,,,,,Beans%2B-%2Bdwarf,113
480,,,,P,P,P,,,,,,,Beans%2B-%2Bdwarf,10
481,,,,P,P,P,,,,,,,Beans%2B-%2Bdwarf,114
482,,,P,P,P,,,,,,,,Beans%2B-%2Bdwarf,13
483,,,P,P,P,,,,,,,,Beans%2B-%2Bdwarf,12
484,,,P,P,,,,P,P,,,,Beans%2B-%2Bdwarf,115
485,,,P,P,,,,P,P,,,,Beans%2B-%2Bdwarf,116
486,S,,,,,,,,,,,,Beans%2B-%2Bdwarf,15
487,,T,,,,,,,,,,,Beans%2B-%2Bdwarf,15
488,,P,P,P,,,,,P,,,,Beans%2B-%2Bdwarf,15
489,S,,,,,,,,,,,,Beans%2B-%2Bdwarf,100
490,,T,,,,,,,,,,,Beans%2B-%2Bdwarf,100
491,,P,P,P,,,,,P,,,,Beans%2B-%2Bdwarf,100
492,P,P,P,,,,,,,P,,,Beans%2B-%2Bdwarf,101
493,P,P,P,,,,,,,P,,,Beans%2B-%2Bdwarf,102
494,P,P,P,,,,,,,,,,Beans%2B-%2Bdwarf,103
495,P,P,P,,,,,,,,,,Beans%2B-%2Bdwarf,104
496,P,P,,,,,,,,,,P,Beans%2B-%2Bdwarf,105
