,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,name,zone,hardiness_zone
3891,,,,T,,,,,,,,,Mint,16,6a
3892,,,,P,P,,,,,,,,Mint,16,6a
3893,,S,,,,,,,,,,,Mint,113,6b
3894,,,,T,,,,,,,,,Mint,113,6b
3895,,,,P,P,,,,,,,,Mint,113,6b
3896,,S,,,,,,,,,,,Mint,10,7a
3897,,,,T,,,,,,,,,Mint,10,7a
3898,,,,P,P,,,,,,,,Mint,10,7a
3899,,S,,,,,,,,,,,Mint,114,7b
3900,,,,T,,,,,,,,,Mint,114,7b
3901,,,,P,P,,,,,,,,Mint,114,7b
3902,,,,P,,,,,,,,,Mint,13,8a
3903,,,,P,,,,,,,,,Mint,12,8b
3904,,,P,,,,,,,,,,Mint,115,9a
3905,,,P,,,,,,,,,,Mint,116,9b
3968,,,,,P,,,,,,,,Mizuna,107,2a
3969,,,,,P,,,,,,,,Mizuna,108,2b
3970,,,,,P,,,,,,,,Mizuna,109,3a
3971,,,,,P,,,,,,,,Mizuna,110,3b
3972,,,,P,,,,,,,,,Mizuna,111,4a
3973,,,,P,,,,,,,,,Mizuna,112,4b
3974,,,P,,,,,,,,,,Mizuna,11,5a
3975,,,P,,,,,,,,,,Mizuna,14,5b
3976,,P,P,,,,,,,,,,Mizuna,16,6a
3977,,,P,,,,,,,,,,Mizuna,113,6b
3978,,P,P,,,,,,,,,,Mizuna,10,7a
3979,,P,P,,,,,,,,,,Mizuna,114,7b
3980,P,P,,,,,,,,,,,Mizuna,13,8a
3981,P,P,,,,,,,,,,,Mizuna,12,8b
3982,P,,,,,,,,,,,P,Mizuna,115,9a
3983,P,,,,,,,,,,,P,Mizuna,116,9b
3984,P,,,,,,,,,,,P,Mizuna,15,10a
3985,P,,,,,,,,,,,P,Mizuna,100,10b
3986,P,,,,,,,,,,,P,Mizuna,101,11a
3987,P,,,,,,,,,,,P,Mizuna,102,11b
4055,,,S,,,,,,,,,,Mustard greens,107,2a
4056,,,,,T,,,,,,,,Mustard greens,107,2a
4057,,,,P,P,P,,,,,,,Mustard greens,107,2a
4058,,,S,,,,,,,,,,Mustard greens,108,2b
4059,,,,T,T,T,,,,,,,Mustard greens,108,2b
4060,,,,P,P,P,,,,,,,Mustard greens,108,2b
4061,,,S,,,,,,,,,,Mustard greens,109,3a
4062,,,,T,,,,,,,,,Mustard greens,109,3a
4063,,,,P,P,,,,,,,,Mustard greens,109,3a
4064,,,S,,,,,,,,,,Mustard greens,110,3b
4065,,,,T,,,,,,,,,Mustard greens,110,3b
4066,,,,P,P,,,,,,,,Mustard greens,110,3b
4067,,,S,,,,,,,,,,Mustard greens,111,4a
4068,,,,T,,,,,,,,,Mustard greens,111,4a
4069,,,,P,P,,,,,,,,Mustard greens,111,4a
4070,,,S,,,,,,,,,,Mustard greens,112,4b
4071,,,,T,,,,,,,,,Mustard greens,112,4b
4072,,,,P,P,P,,,,,,,Mustard greens,112,4b
4073,,,S,,,,,,,,,,Mustard greens,11,5a
4074,,,,T,T,,,,,,,,Mustard greens,11,5a
4075,,,,P,P,,P,,,,,,Mustard greens,11,5a
4076,,S,,,,,,,,,,,Mustard greens,14,5b
4077,,,T,T,,,,,,,,,Mustard greens,14,5b
4078,,,P,P,,,P,,,,,,Mustard greens,14,5b
4079,,,S,,,,,,,,,,Mustard greens,16,6a
4080,,,,T,T,,,,,,,,Mustard greens,16,6a
4081,,,,P,P,,P,,,,,,Mustard greens,16,6a
4082,,,S,,,,,,,,,,Mustard greens,113,6b
4083,,,,T,T,,,,,,,,Mustard greens,113,6b
4084,,,,P,P,,P,,,,,,Mustard greens,113,6b
4085,S,,,,,,S,,,,,,Mustard greens,10,7a
4086,,T,T,,,,,T,T,,,,Mustard greens,10,7a
4087,P,P,P,,,,,P,P,,,,Mustard greens,10,7a
4088,S,,,,,,S,,,,,,Mustard greens,114,7b
4089,,T,T,T,,,,T,T,,,,Mustard greens,114,7b
4090,P,P,P,P,,,,P,P,,,,Mustard greens,114,7b
4091,S,,,,,,,,,,,,Mustard greens,13,8a
4092,,,T,,,,,,,,,,Mustard greens,13,8a
4093,,P,P,,,,,P,P,,,,Mustard greens,13,8a
4094,S,,,,,,,,,,,,Mustard greens,12,8b
4095,,,T,,,,,,,,,,Mustard greens,12,8b
4096,,P,P,,,,,P,P,,,,Mustard greens,12,8b
4097,,P,P,,,,,,P,P,,,Mustard greens,115,9a
4098,,P,P,,,,,,P,P,,,Mustard greens,116,9b
4099,P,P,P,,,,,,P,P,P,P,Mustard greens,15,10a
4100,,P,P,,,,,,P,P,P,P,Mustard greens,100,10b
4140,,,S,,,,,,,,,,NZ Spinach,111,4a
4141,,,,,T,,,,,,,,NZ Spinach,111,4a
4142,,,,,P,,,,,,,,NZ Spinach,111,4a
4143,,,S,,,,,,,,,,NZ Spinach,112,4b
4144,,,,,T,,,,,,,,NZ Spinach,112,4b
4145,,,,,P,,,,,,,,NZ Spinach,112,4b
4146,,,S,,,,,,,,,,NZ Spinach,11,5a
4147,,,,,T,,,,,,,,NZ Spinach,11,5a
4148,,,,,P,,,,,,,,NZ Spinach,11,5a
4149,,,S,,,,,,,,,,NZ Spinach,14,5b
4150,,,,,T,,,,,,,,NZ Spinach,14,5b
4151,,,,,P,,,,,,,,NZ Spinach,14,5b
4152,,,,P,P,,,,,,,,NZ Spinach,16,6a
4153,,,,P,P,,,,,,,,NZ Spinach,113,6b
4154,,,,P,P,,,,,,,,NZ Spinach,10,7a
4155,,,,P,P,,,,,,,,NZ Spinach,114,7b
4156,,,P,P,,,,,,,,,NZ Spinach,13,8a
4157,,,P,P,,,,,,,,,NZ Spinach,12,8b
4158,,P,,,,,,,,,P,P,NZ Spinach,115,9a
4159,,P,,,,,,,,,P,P,NZ Spinach,116,9b
4160,,,,,,,,,,P,P,,NZ Spinach,15,10a
4161,P,,,,,,,,,P,P,P,NZ Spinach,100,10b
4162,P,,,,,,,,,,,,NZ Spinach,101,11a
4163,P,,,,,,,,,,,,NZ Spinach,102,11b
4164,P,,,,,,,,,,,,NZ Spinach,103,12a
4165,P,,,,,,,,,,,,NZ Spinach,104,12b
4166,P,,,,,,,,,,,,NZ Spinach,105,13a
4167,P,,,,,,,,,,,,NZ Spinach,106,13b
4206,,,,S,,,,,,,,,Okra,111,4a
4207,,,,,,T,,,,,,,Okra,111,4a
4208,,,,,P,P,,,,,,,Okra,111,4a
4209,,,,S,,,,,,,,,Okra,112,4b
4210,,,,,,T,,,,,,,Okra,112,4b
4211,,,,,P,P,,,,,,,Okra,112,4b
4212,,,S,,,,,,,,,,Okra,11,5a
4213,,,,,T,,,,,,,,Okra,11,5a
4214,,,,,P,,,,,,,,Okra,11,5a
4215,,,S,,,,,,,,,,Okra,14,5b
4216,,,,,T,,,,,,,,Okra,14,5b
4217,,,,,P,,,,,,,,Okra,14,5b
4218,,,S,,,,,,,,,,Okra,16,6a
4219,,,,T,,,,,,,,,Okra,16,6a
4220,,,,P,P,,,,,,,,Okra,16,6a
4221,,,S,,,,,,,,,,Okra,113,6b
4222,,,,T,,,,,,,,,Okra,113,6b
4223,,,,P,P,,,,,,,,Okra,113,6b
4224,,,S,,,,,,,,,,Okra,10,7a
4225,,,,,T,,,,,,,,Okra,10,7a
4226,,,,P,P,P,P,,,,,,Okra,10,7a
4227,,,S,,,,,,,,,,Okra,114,7b
4228,,,,,T,,,,,,,,Okra,114,7b
4229,,,,P,P,P,P,,,,,,Okra,114,7b
4230,,,S,,,,,,,,,,Okra,13,8a
4231,,,,,T,,,,,,,,Okra,13,8a
4232,,,,P,P,P,,,,,,,Okra,13,8a
4233,,,S,,,,,,,,,,Okra,12,8b
4234,,,,,T,,,,,,,,Okra,12,8b
4235,,,,P,P,P,,,,,,,Okra,12,8b
4236,,S,,,,,,,,,,,Okra,115,9a
4237,,,T,T,,,,,,,,,Okra,115,9a
4238,,,P,P,,P,,,,,,,Okra,115,9a
4239,,S,,,,,,,,,,,Okra,116,9b
4240,,,T,T,,,,,,,,,Okra,116,9b
4241,,,P,P,,P,,,,,,,Okra,116,9b
4242,S,S,,,,,,,,,,,Okra,15,10a
4243,,,T,T,,,,,,,,,Okra,15,10a
4244,,P,P,P,,P,,,,,,,Okra,15,10a
4245,S,S,,,,,,,,,,,Okra,100,10b
4246,,,T,T,,,,,,,,,Okra,100,10b
4247,,P,P,P,,P,,,,,,P,Okra,100,10b
4315,,S,,,,,,,,,,,Onion,107,2a
4316,,,T,,,,,,,,,,Onion,107,2a
4317,,,P,P,P,,,,,,,,Onion,107,2a
4318,,S,,,,,,,,,,,Onion,108,2b
4319,,,T,,,,,,,,,,Onion,108,2b
4320,,,P,P,P,,,,,,,,Onion,108,2b
4321,,S,,,,,,,,,,,Onion,109,3a
4322,,,,T,,,,,,,,,Onion,109,3a
4323,,,,P,,,,,,,,,Onion,109,3a
4324,,S,,,,,,,,,,,Onion,110,3b
4325,,,,T,,,,,,,,,Onion,110,3b
4326,,,,P,,,,,,,,,Onion,110,3b
4327,,S,,,,,,,,,,,Onion,111,4a
4328,,,,T,,,,,,,,,Onion,111,4a
4329,,,,P,,,,,,,,,Onion,111,4a
4330,,S,,,,,,,,,,,Onion,112,4b
4331,,,,T,,,,,,,,,Onion,112,4b
4332,,,,P,,,,,,,,,Onion,112,4b
4333,,S,,,,,,,,,,,Onion,11,5a
4334,,,P,P,,,,,,,,,Onion,11,5a
4335,,S,,,,,,,,,,,Onion,14,5b
4336,,,P,P,,,,,,,,,Onion,14,5b
4337,,,P,P,,,,,,,,,Onion,16,6a
4338,,,P,P,,,,,,,,,Onion,113,6b
4339,P,P,P,,,,,,P,P,P,P,Onion,10,7a
4340,P,P,P,,,,,,P,P,P,P,Onion,114,7b
4341,P,P,P,,,,,,P,P,P,P,Onion,13,8a
4342,P,P,P,,,,,,P,P,P,P,Onion,12,8b
4343,,,,P,,,,P,P,P,P,,Onion,115,9a
4344,,,,P,,,,P,P,P,P,P,Onion,116,9b
4345,,,,P,,,,P,P,P,P,P,Onion,15,10a
4346,,,,P,,,,P,P,P,P,,Onion,100,10b
4404,,,S,,,,,,,,,,Oregano,11,5a
4405,,,,,T,,,,,,,,Oregano,11,5a
4406,,,,P,P,,,,,,,,Oregano,11,5a
4407,,,S,,,,,,,,,,Oregano,14,5b
4408,,,,,T,,,,,,,,Oregano,14,5b
4409,,,,P,P,,,,,,,,Oregano,14,5b
4410,,,S,,,,,,,,,,Oregano,16,6a
4411,,,,,T,,,,,,,,Oregano,16,6a
4412,,,,P,P,,,,,,,,Oregano,16,6a
4413,,,S,,,,,,,,,,Oregano,113,6b
4414,,,,,T,,,,,,,,Oregano,113,6b
4415,,,,P,P,,,,,,,,Oregano,113,6b
4416,,,S,,,,,,,,,,Oregano,10,7a
4417,,,,,T,,,,,,,,Oregano,10,7a
4418,,,,P,P,,,,,,,,Oregano,10,7a
4419,,,S,,,,,,,,,,Oregano,114,7b
4420,,,,,T,,,,,,,,Oregano,114,7b
4421,,,,P,P,,,,,,,,Oregano,114,7b
4422,,S,,,,,,,,,,,Oregano,13,8a
4423,,,,T,,,,,,,,,Oregano,13,8a
4424,,,P,P,,,,,,,,,Oregano,13,8a
4425,,S,,,,,,,,,,,Oregano,12,8b
4426,,,,T,,,,,,,,,Oregano,12,8b
4427,,,P,P,,,,,,,,,Oregano,12,8b
4428,S,,,,,,,,,,,,Oregano,115,9a
4429,,,T,,,,,,,,,,Oregano,115,9a
4430,,P,P,,,,,,,,,,Oregano,115,9a
4431,S,,,,,,,,,,,,Oregano,116,9b
4432,,,T,,,,,,,,,,Oregano,116,9b
4433,,P,P,,,,,,,,,,Oregano,116,9b
4434,S,,,,,,,,,,,,Oregano,15,10a
4435,,,T,,,,,,,,,,Oregano,15,10a
4436,,P,P,,,,,,,,,,Oregano,15,10a
4437,S,,,,,,,,,,,,Oregano,100,10b
4438,,,T,,,,,,,,,,Oregano,100,10b
4439,,P,P,,,,,,,,,,Oregano,100,10b
4440,P,P,,,,,,,,,,,Oregano,101,11a
4441,P,P,,,,,,,,,,,Oregano,102,11b
4442,,,,,,,,,,,,P,Oregano,103,12a
4508,,,,,,P,P,,,,,,Pak Choy,107,2a
4509,,,,,,P,P,,,,,,Pak Choy,108,2b
4510,,,,,,P,P,,,,,,Pak Choy,109,3a
4511,,,,,,P,P,,,,,,Pak Choy,110,3b
4512,,,,,P,P,P,,,,,,Pak Choy,111,4a
4513,,,,,P,P,P,,,,,,Pak Choy,112,4b
4514,,,S,,,,,,,,,,Pak Choy,11,5a
4515,,,,T,,,,,,,,,Pak Choy,11,5a
4516,,,,P,P,,,,,,,,Pak Choy,11,5a
4517,,,S,,,,,,,,,,Pak Choy,14,5b
4518,,,,T,,,,,,,,,Pak Choy,14,5b
4519,,,,P,P,,,,,,,,Pak Choy,14,5b
4520,,,S,,,,,,,,,,Pak Choy,16,6a
4521,,,,T,,,,,,,,,Pak Choy,16,6a
4522,,,,P,,,,,,,,,Pak Choy,16,6a
4523,,,S,,,,,,,,,,Pak Choy,113,6b
4524,,,,T,,,,,,,,,Pak Choy,113,6b
4525,,,,P,,,,,,,,,Pak Choy,113,6b
4526,,,,,,,,P,P,,,,Pak Choy,10,7a
4527,,,,,,,,P,P,,,,Pak Choy,114,7b
4528,,,,,,,,,,P,P,,Pak Choy,13,8a
4529,,,,,,,,,,P,P,,Pak Choy,12,8b
4530,P,,,,,,,,,,P,P,Pak Choy,115,9a
4531,P,,,,,,,,,,P,P,Pak Choy,116,9b
4532,P,,,,,,,,,,P,,Pak Choy,15,10a
4533,P,,,,,,,,,,P,,Pak Choy,100,10b
4605,,,P,,,,,,,,,,Parsley,107,2a
4606,,,P,,,,,,,,,,Parsley,108,2b
4607,,S,,,,,,,,,,,Parsley,109,3a
4608,,,,T,,,,,,,,,Parsley,109,3a
4609,,,,P,P,,,,,,,,Parsley,109,3a
4610,,S,,,,,,,,,,,Parsley,110,3b
4611,,,,T,,,,,,,,,Parsley,110,3b
4612,,,,P,P,,,,,,,,Parsley,110,3b
4613,,,S,,,,,,,,,,Parsley,111,4a
4614,,,,T,T,,,,,,,,Parsley,111,4a
4615,,,,P,P,,,,,,,,Parsley,111,4a
4616,,,S,,,,,,,,,,Parsley,112,4b
4617,,,,T,,,,,,,,,Parsley,112,4b
4618,,,,P,P,,,,,,,,Parsley,112,4b
4619,,,S,,,,,,,,,,Parsley,11,5a
4620,,,,T,,,,,,,,,Parsley,11,5a
4621,,,,P,P,P,,,,,,,Parsley,11,5a
4622,,S,S,,,,,,,,,,Parsley,14,5b
4623,,,,T,T,,,,,,,,Parsley,14,5b
4624,,,,P,P,,,,,,,,Parsley,14,5b
4625,,S,S,,,,,,,,,,Parsley,16,6a
4626,,,,T,T,,,,,,,,Parsley,16,6a
4627,,,,P,P,,,,,,,,Parsley,16,6a
4628,,S,S,,,,,,,,,,Parsley,113,6b
4629,,,,T,T,,,,,,,,Parsley,113,6b
4630,,,,P,P,,,,,,,,Parsley,113,6b
4631,,,S,,,,,,,,,,Parsley,10,7a
4632,,,,,T,,,,,,,,Parsley,10,7a
4633,,,,,P,P,,,,,,,Parsley,10,7a
4634,,,S,,,,,,,,,,Parsley,114,7b
4635,,,,T,T,,,,,,,,Parsley,114,7b
4636,,,,P,P,P,,,,,,,Parsley,114,7b
4637,S,,,,,,,,,,,,Parsley,13,8a
4638,,,T,T,,,,,,,,,Parsley,13,8a
4639,,,P,P,P,,,,,,,,Parsley,13,8a
4640,S,,,,,,,,,,,,Parsley,12,8b
4641,,,T,T,,,,,,,,,Parsley,12,8b
4642,,,P,P,,,,,,,,,Parsley,12,8b
4643,,S,,,,,,,,,,,Parsley,115,9a
4644,,,,T,,,,,,,,,Parsley,115,9a
4645,,,,P,P,,,,,,,,Parsley,115,9a
4646,,S,,,,,,,,,,,Parsley,116,9b
4647,,,,T,,,,,,,,,Parsley,116,9b
4648,,,P,P,P,,,,,P,,,Parsley,116,9b
4649,,S,,,,,,,,,,,Parsley,15,10a
4650,,,T,,,,,,,,,,Parsley,15,10a
4651,,,P,P,,,,,,P,,,Parsley,15,10a
4652,,S,,,,,,,,,,,Parsley,100,10b
4653,,,T,,,,,,,,,,Parsley,100,10b
4654,,,P,P,,,,,,P,,,Parsley,100,10b
4655,P,P,P,P,,,,,,,,,Parsley,101,11a
4656,P,P,P,P,,,,,,,,,Parsley,102,11b
4657,P,P,P,P,,,,,,,,,Parsley,103,12a
4658,P,P,P,P,,,,,,,,,Parsley,104,12b
4659,P,P,P,P,,,,,,,,,Parsley,105,13a
4660,P,P,P,P,,,,,,,,,Parsley,106,13b
4695,,,,P,P,,,,,,,,Parsnip,107,2a
4696,,,,P,P,,,,,,,,Parsnip,108,2b
4697,,,P,P,P,,,,,,,,Parsnip,109,3a
4698,,,P,P,P,,,,,,,,Parsnip,110,3b
4699,,,S,,,,,,,,,,Parsnip,111,4a
4700,,,,,T,,,,,,,,Parsnip,111,4a
4701,,,,,P,P,,,,,,,Parsnip,111,4a
4702,,,S,,,,,,,,,,Parsnip,112,4b
4703,,,,,T,,,,,,,,Parsnip,112,4b
4704,,,,,P,P,,,,,,,Parsnip,112,4b
4705,,S,S,S,,,,,,,,,Parsnip,14,5b
4706,,,,,T,,,,,,,,Parsnip,14,5b
4707,,,,,P,P,,,,,,,Parsnip,14,5b
4708,,S,S,S,,,,,,,,,Parsnip,16,6a
4709,,,,,T,,,,,,,,Parsnip,16,6a
4710,,,,,P,P,,,,,,,Parsnip,16,6a
4711,,S,S,S,,,,,,,,,Parsnip,113,6b
4712,,,,,T,,,,,,,,Parsnip,113,6b
4713,,,,,P,P,,,,,,,Parsnip,113,6b
4714,,S,S,S,,,,,,,,,Parsnip,10,7a
4715,,,,,T,,,,,,,,Parsnip,10,7a
4716,,,,,P,P,,,,,,,Parsnip,10,7a
4717,,S,S,,,,,,,,,,Parsnip,114,7b
4718,,,,T,T,,,,,,,,Parsnip,114,7b
4719,,,,P,P,P,,,,,,,Parsnip,114,7b
4720,S,S,S,,,,,,,,,,Parsnip,13,8a
4721,,,,T,,,,,,,,,Parsnip,13,8a
4722,,,,P,P,,,,,,,,Parsnip,13,8a
4723,S,S,S,,,,,,,,,,Parsnip,12,8b
4724,,,,T,,,,,,,,,Parsnip,12,8b
4725,,,,P,P,,,,,,,,Parsnip,12,8b
4726,S,S,,,,,,,,,,,Parsnip,115,9a
4727,,,T,,,,,,,,,,Parsnip,115,9a
4728,,,P,P,P,,,,,,,,Parsnip,115,9a
4729,S,S,,,,,,,,,,,Parsnip,116,9b
4730,,,T,,,,,,,,,,Parsnip,116,9b
4731,,,P,P,P,,,,,,,,Parsnip,116,9b
4769,,,P,P,P,,,,,,,,Peas,107,2a
4770,,,P,P,P,,,,,,,,Peas,108,2b
4771,,,P,P,P,,,,,,,,Peas,109,3a
4772,,,P,P,P,,,,,,,,Peas,110,3b
4773,,,P,P,P,,,,,,,,Peas,111,4a
4774,,,P,P,P,,,,,,,,Peas,112,4b
4775,,,P,P,P,,,,,,,,Peas,11,5a
4776,,,P,P,P,,,,,,,,Peas,14,5b
4777,,,P,P,P,,,,,,,,Peas,16,6a
4778,,,P,P,P,,,,,,,,Peas,113,6b
4779,,,P,P,,,,,,,,,Peas,10,7a
4780,,,P,P,,,,,,,,,Peas,114,7b
4781,P,P,P,,,,,,,,,,Peas,13,8a
4782,P,P,P,,,,,,,,,,Peas,12,8b
4783,P,P,P,,,,,,,,,,Peas,115,9a
4784,P,P,P,,,,,,,,,,Peas,116,9b
4785,P,P,,,,,,,,,P,P,Peas,15,10a
4786,P,P,,,,,,,,,P,P,Peas,100,10b
4787,P,P,,,,,,,,,,,Peas,101,11a
4788,P,P,,,,,,,,,,,Peas,102,11b
4816,,,,P,P,,,,,,,,Potato,107,2a
4817,,,,P,P,,,,,,,,Potato,108,2b
4818,,,,P,P,,,,,,,,Potato,109,3a
4819,,,,P,P,,,,,,,,Potato,110,3b
4820,,,,P,P,,,,,,,,Potato,111,4a
4821,,,,P,P,,,,,,,,Potato,112,4b
4822,,,,P,P,,,,,,,,Potato,11,5a
4823,,,,P,P,,,,,,,,Potato,14,5b
4824,,,,P,P,,,,,,,,Potato,16,6a
4825,,,,P,P,,,,,,,,Potato,113,6b
4826,,,P,P,,,,P,,,,,Potato,10,7a
4827,,,P,P,,,,,,,,,Potato,114,7b
4828,,P,P,P,,,,P,,,,,Potato,13,8a
4829,,P,P,P,,,,P,,,,,Potato,12,8b
4830,P,,,,,,,,,P,P,,Potato,115,9a
4831,P,,,,,,,,,P,P,,Potato,116,9b
4832,P,P,,,,,,,,P,P,,Potato,15,10a
4833,P,P,,,,,,,,P,P,,Potato,100,10b
4834,P,P,,,,,,,,,,P,Potato,101,11a
4835,P,P,,,,,,,,,,P,Potato,102,11b
4896,,,,S,,,,,,,,,Pumpkin,107,2a
4897,,,,,T,,,,,,,,Pumpkin,107,2a
4898,,,,,P,,,,,,,,Pumpkin,107,2a
4899,,,,S,,,,,,,,,Pumpkin,108,2b
4900,,,,,T,,,,,,,,Pumpkin,108,2b
4901,,,,,P,,,,,,,,Pumpkin,108,2b
4902,,S,S,,,,,,,,,,Pumpkin,109,3a
4903,,,,,T,,,,,,,,Pumpkin,109,3a
4904,,,,,P,,,,,,,,Pumpkin,109,3a
4905,,S,S,,,,,,,,,,Pumpkin,110,3b
4906,,,,,T,,,,,,,,Pumpkin,110,3b
4907,,,,,P,,,,,,,,Pumpkin,110,3b
4908,,S,S,,,,,,,,,,Pumpkin,111,4a
4909,,,,,T,,,,,,,,Pumpkin,111,4a
4910,,,,,P,,,,,,,,Pumpkin,111,4a
4911,,S,S,,,,,,,,,,Pumpkin,112,4b
4912,,,,,T,,,,,,,,Pumpkin,112,4b
4913,,,,,P,,,,,,,,Pumpkin,112,4b
4914,,S,S,,,,,,,,,,Pumpkin,11,5a
4915,,,,,T,,,,,,,,Pumpkin,11,5a
4916,,,,,P,,,,,,,,Pumpkin,11,5a
4917,,,S,,,,,,,,,,Pumpkin,14,5b
4918,,,,,T,,,,,,,,Pumpkin,14,5b
4919,,,,,P,,,,,,,,Pumpkin,14,5b
4920,,,S,,,,,,,,,,Pumpkin,16,6a
4921,,,,,T,,,,,,,,Pumpkin,16,6a
4922,,,,,P,,,,,,,,Pumpkin,16,6a
4923,,,S,S,,,,,,,,,Pumpkin,113,6b
4924,,,,,T,T,,,,,,,Pumpkin,113,6b
4925,,,,,P,P,,,,,,,Pumpkin,113,6b
4926,,,S,S,,,,,,,,,Pumpkin,10,7a
4927,,,,,T,,,,,,,,Pumpkin,10,7a
4928,,,,,P,P,,,,,,,Pumpkin,10,7a
4929,,S,S,,,,,,,,,,Pumpkin,114,7b
4930,,,,T,T,,,,,,,,Pumpkin,114,7b
4931,,,,P,P,P,,,,,,,Pumpkin,114,7b
4932,,,S,S,,,,,,,,,Pumpkin,13,8a
4933,,,,,T,,,,,,,,Pumpkin,13,8a
4934,,,,,P,,,,,,,,Pumpkin,13,8a
4935,,,S,S,,,,,,,,,Pumpkin,12,8b
4936,,,,,T,,,,,,,,Pumpkin,12,8b
4937,,,,,P,,,,,,,,Pumpkin,12,8b
4938,S,,,,,,,,,,,,Pumpkin,115,9a
4939,,T,T,,,,,,,,,,Pumpkin,115,9a
4940,,P,P,P,,,,P,,,,,Pumpkin,115,9a
4941,S,,,,,,,,,,,,Pumpkin,116,9b
4942,,T,T,,,,,,,,,,Pumpkin,116,9b
4943,,P,P,P,,,,P,,,,,Pumpkin,116,9b
4944,,P,P,,,,,P,,,,,Pumpkin,15,10a
4945,,P,P,,,,,,,,,,Pumpkin,100,10b
4946,P,P,,,,,,,,,,,Pumpkin,101,11a
4947,P,P,,,,,,,,,,,Pumpkin,102,11b
4948,P,,,,,,,,,,,,Pumpkin,103,12a
4949,P,,,,,,,,,,,,Pumpkin,104,12b
4950,P,,,,,,,,,,,,Pumpkin,105,13a
4951,P,,,,,,,,,,,,Pumpkin,106,13b
4979,,,P,P,P,P,P,P,,,,,Radish,107,2a
4980,,,P,P,P,P,P,P,,,,,Radish,108,2b
4981,,,,P,P,P,,P,,,,,Radish,109,3a
4982,,,,P,P,P,,P,,,,,Radish,110,3b
4983,,,,P,P,P,,P,,,,,Radish,111,4a
4984,,,,P,P,P,,P,,,,,Radish,112,4b
4985,,,P,P,P,,,P,,,,,Radish,11,5a
4986,,,P,P,P,,,P,,,,,Radish,14,5b
4987,,,P,P,P,,P,,,,,,Radish,16,6a
4988,,,P,P,P,,,,,,,,Radish,113,6b
4989,T,,,,,,,,,,,,Radish,10,7a
4990,P,P,P,,,,,,P,P,,,Radish,10,7a
4991,P,P,P,P,,,,,P,P,,,Radish,114,7b
4992,T,,,,,,,,,,,,Radish,13,8a
4993,P,P,P,,,,,,P,P,,,Radish,13,8a
4994,T,,,,,,,,,,,,Radish,12,8b
4995,P,P,P,,,,,,P,P,,,Radish,12,8b
4996,P,P,P,,,,,,P,P,P,P,Radish,115,9a
4997,P,P,P,,,,,P,P,P,P,P,Radish,116,9b
4998,P,P,P,,,,,,P,P,P,P,Radish,15,10a
4999,P,P,P,,,,,,P,P,P,P,Radish,100,10b
5026,,,S,,,,,,,,,,Rhubarb,107,2a
5027,,,,T,,,,,,,,,Rhubarb,107,2a
5028,,,,P,,,,,,,,,Rhubarb,107,2a
5029,,,S,,,,,,,,,,Rhubarb,108,2b
5030,,,,T,,,,,,,,,Rhubarb,108,2b
5031,,,,P,,,,,,,,,Rhubarb,108,2b
5032,,,,,,,P,,,,,,Rhubarb,109,3a
5033,,,,,,,P,,,,,,Rhubarb,110,3b
5034,,,,,,,P,,,,,,Rhubarb,111,4a
5035,,,,,,,P,,,,,,Rhubarb,112,4b
5036,,,,P,,,,,,,,,Rhubarb,11,5a
5037,,,P,,,,,,,,,,Rhubarb,14,5b
5038,,,P,,,,,,,,,,Rhubarb,16,6a
5039,,,P,,,,,,,,,,Rhubarb,113,6b
5040,,P,,,,,,,,,,,Rhubarb,10,7a
5041,,P,,,,,,,,,,,Rhubarb,114,7b
5042,,P,,,,,,,,,,,Rhubarb,13,8a
5043,,P,,,,,,,,,,,Rhubarb,12,8b
5071,,,,,,P,P,,,,,,Rocket,107,2a
5072,,,,,,P,P,,,,,,Rocket,108,2b
5073,,,,,,P,P,,,,,,Rocket,109,3a
5074,,,,,,P,P,,,,,,Rocket,110,3b
5075,,,,S,,,,,,,,,Rocket,111,4a
5076,,,,,T,,,,,,,,Rocket,111,4a
5077,,,,,P,P,,P,,,,,Rocket,111,4a
5078,,,,S,,,,,,,,,Rocket,112,4b
5079,,,,,T,,,,,,,,Rocket,112,4b
5080,,,,,P,P,,P,,,,,Rocket,112,4b
5081,,,S,,,,,,,,,,Rocket,11,5a
5082,,,,T,,,,,,,,,Rocket,11,5a
5083,,,,P,P,,,P,,,,,Rocket,11,5a
5084,,,S,,,,,,,,,,Rocket,14,5b
5085,,,,T,,,,,,,,,Rocket,14,5b
5086,,,,P,P,,,P,,,,,Rocket,14,5b
5087,,,,,,P,P,P,,,,,Rocket,16,6a
5088,,,,,,P,P,P,,,,,Rocket,113,6b
5089,,,,,,,P,P,P,,,,Rocket,10,7a
5090,,,,,,,P,P,P,,,,Rocket,114,7b
5091,,,,,,,,P,P,P,,,Rocket,13,8a
5092,,,,,,,,,P,P,P,,Rocket,12,8b
5093,S,,,,,,,,,,,,Rocket,115,9a
5094,,T,,,,,,,,,,,Rocket,115,9a
5095,,P,P,,,,,,,P,P,,Rocket,115,9a
5096,S,,,,,,,,,,,,Rocket,116,9b
5097,,T,,,,,,,,,,,Rocket,116,9b
5098,,P,P,,,,,,,P,P,,Rocket,116,9b
5099,S,,,,,,,,,,,,Rocket,15,10a
5100,,T,,,,,,,,,,,Rocket,15,10a
